id,name,time,lat,lng
0,红塔区北城街道大石板社区秧草塘村,1580572800,24.470383,102.518564
1,红塔区红塔大道50号华瑞小区,1580486400,24.346475,102.552853
2,元江哈尼族彝族傣族自治县玉景苑小区,1581091200,23.585408,102.009353
3,西山区绿地大城天地商业区,1580745600,25.019502,102.708626
4,西山区永昌街道绿地大城天地4B商业22-5栋,1581004800,25.019580,102.708322
5,官渡区小板桥街道海伦国际小区,1580400000,24.972677,102.751750
6,官渡区矣六街道星体花园北区13栋1单元,1581004800,24.946140,102.768898
7,盘龙区金殿武家村,1580400000,25.122211,102.758576
8,盘龙区联盟街道云锡花园2区西区1栋2单元,1581004800,25.077727,102.742992
9,东川区乌龙镇黄包谷地小组,1581004800,25.981869,103.085750
10,五华区红云街道江东耀龙康城8栋3单元,1581004800,25.104570,102.736698
11,五华区丰宁街道春晖小区颐达园3栋,1581004800,25.056789,102.683081
12,安宁市昆船花园小区13栋2单元,1581004800,24.925842,102.484409
13,安宁市金方街道恒大金碧天下博雅苑25栋1单元,1581004800,24.895772,102.568902
14,寻甸县塘子街道办事处小瓦匠村,1581004800,25.482902,103.290173
15,腾冲市镇安镇,1580400000,25.026545,98.497466
16,瑞丽市五缘玉城小区,1580400000,24.029923,97.852803
17,景洪市 景洪农场三分场,1580400000,21.991377,100.759977
18,景洪市曼哈乡曼伞囡村,1580400000,21.765785,101.053935
19,丰满区中海紫御江城,1580659200,43.838210,126.573684
20,昌邑区吉炭小区,1580745600,43.881086,126.588273
21,净月区万科城,1580572800,43.805290,125.393239
22,净月区博学路东城国际花园小区,1580486400,43.826003,125.421294
23,净月区净月街道财苑家园,1580745600,43.833540,125.453122
24,朝阳区崇智路694号,1580486400,43.898535,125.320549
25,绿园区西城国际公馆,1580659200,43.904510,125.275324
26,绿园区长客花园,1581004800,43.915473,125.296178
27,高新区中海兰庭小区,1580486400,43.789368,125.265626
28,高新区北湾新城,1580832000,43.975386,125.397757
29,高新区恒大绿洲,1580832000,43.780613,125.265493
30,高新区飞跃经典小区,1580832000,43.838619,125.247788
31,高新区吉大南校家属楼,1581177600,43.835129,125.285737
32,九台区龙凤二期,1580832000,44.230683,125.693165
33,九台区工商一条街铁路家属楼,1580918400,44.155910,125.844847
34,二道区力旺康城小区,1580832000,43.951683,125.377219
35,二道区天富北苑,1581004800,43.913445,125.381037
36,宽城区北十条荣旺天下,1580832000,43.922875,125.356990
37,宽城区金都小镇,1581177600,43.971679,125.293086
38,经开区首地首城,1581177600,43.847298,125.417761
39,十屋镇双河村1组,1581091200,43.827232,124.256500
40,怀德镇三合堡村8组,1580745600,43.821273,124.713401
41,秦家屯镇南平村5队,1580745600,43.791779,124.663522
42,宁河区芦台镇王北村,1580572800,39.364648,117.778595
43,宁河区芦台镇运河家园,1580572800,39.357660,117.808960
44,宝坻区宝平街道华苑东区,1580659200,39.714832,117.312473
45,宝坻区宝平街道宝平景苑东区,1580659200,39.713545,117.301915
46,宝坻区宝平街道宝平景苑西区,1580572800,39.714700,117.297967
47,宝坻区宝平街道河景馨园小区,1580659200,39.708276,117.295854
48,宝坻区朝霞街道开元新居小区,1580486400,39.747222,117.291429
49,宝坻区海滨街道宝鑫景苑小区,1580486400,39.737580,117.328542
50,宝坻区海滨街道御景华城小区,1580832000,39.745025,117.356708
51,宝坻区牛道口镇焦山寺村,1580659200,39.784768,117.297394
52,宝坻区钰华街道凯瑞国际小区,1580572800,39.728796,117.342896
53,宝坻区大口屯镇古庄村,1580745600,39.598941,117.265354
54,宝坻区大钟庄镇大钟庄村,1580745600,39.693528,117.583813
55,宝坻区海滨街道蓝水湾小区,1580832000,39.745618,117.305899
56,宝坻区口东镇前齐各庄村,1580918400,39.675504,117.412018
57,宝坻区宝平街道瑞景花园小区,1580918400,39.728244,117.318368
58,宝坻区朝霞街道状元城小区,1580918400,39.747222,117.291429
59,宝坻区林亭口镇窝贝厂村,1580918400,39.609188,117.540123
60,宝坻区钰华街道金玉四园小区,1580918400,39.704944,117.315816
61,宝坻区宝平街道宝境檀香小区,1581004800,39.698975,117.283094
62,宝坻区牛道口镇沟头村,1581004800,39.820389,117.213926
63,宝坻区宝平街道凯旋家园小区,1581091200,39.701082,117.304368
64,宝坻区宝平街道蝶恋新园小区,1581091200,39.718610,117.290669
65,宝坻区钰华街道顺驰小区,1581091200,39.721568,117.336755
66,宝坻区史各庄镇陈甫村,1581177600,39.736122,117.251221
67,宝坻区宝平街道逸城雅园小区,1581177600,39.710685,117.308225
68,滨海新区中新生态城,1580313600,39.122985,117.743982
69,滨海新区万通上北新新家园,1580918400,39.067527,117.654282
70,东丽区揽湖苑别墅,1580659200,39.184644,117.505469
71,东丽区华明街道坤园,1580918400,39.184763,117.386087
