id,name,datetime,updated_date,lat,lng,city,province
0,水围九街,2020/02/22 17:10:52,2020-02-22,22.522337,114.062188,深圳市,广东省
1,新世界·四季山水-一期,2020/02/22 17:10:52,2020-02-17,22.571068,114.045446,深圳市,广东省
2,佳兆业·中央广场一期,2020/02/22 17:10:52,2020-02-16,22.660062,114.075859,深圳市,广东省
3,万科·金色领域一期（宝安大道）,2020/02/22 17:10:52,2020-02-16,22.659844,113.815257,深圳市,广东省
4,鼎太风华二期,2020/02/22 17:10:52,2020-02-16,22.520554,113.911785,深圳市,广东省
5,鑫竹苑,2020/02/22 17:10:52,2020-02-16,22.537804,114.017653,深圳市,广东省
6,益田村,2020/02/22 17:10:52,2020-02-15,22.514515,114.053217,深圳市,广东省
7,华润万家(宝安店),2020/02/22 17:10:52,2020-02-15,22.560253,113.904959,深圳市,广东省
8,宝民社区灶下村,2020/02/22 17:10:52,2020-02-15,22.565893,113.898574,深圳市,广东省
9,西海明珠花园,2020/02/22 17:10:52,2020-02-15,22.530861,113.930257,深圳市,广东省
10,锦航酒店,2020/02/22 17:10:52,2020-02-14,22.606297,114.154343,深圳市,广东省
11,百合星城二期,2020/02/22 17:10:52,2020-02-14,22.596751,114.121801,深圳市,广东省
12,福宁街桐林公寓,2020/02/22 17:10:52,2020-02-14,22.532323,114.078779,深圳市,广东省
13,花半里,2020/02/22 17:10:52,2020-02-13,22.673505,114.047979,深圳市,广东省
14,西头新村四区,2020/02/22 17:10:52,2020-02-13,22.641962,114.016711,深圳市,广东省
15,潭头社区四村,2020/02/22 17:10:52,2020-02-13,22.749634,113.847064,深圳市,广东省
16,沙井西荟城,2020/02/22 17:10:52,2020-02-13,22.731869,113.817232,深圳市,广东省
17,汤坑社区东方丽园 ,2020/02/22 17:10:52,2020-02-12,22.667274,114.316354,深圳市,广东省
18,东海丽景花园,2020/02/22 17:10:52,2020-02-12,22.590307,114.258275,深圳市,广东省
19,玮鹏花园,2020/02/22 17:10:52,2020-02-12,22.542152,114.094612,深圳市,广东省
20,上木古社区岭根吓,2020/02/22 17:10:52,2020-02-12,22.666553,114.116975,深圳市,广东省
21,新亚洲花园,2020/02/22 17:10:52,2020-02-12,22.715505,114.236576,深圳市,广东省
22,正大时代华庭,2020/02/22 17:10:52,2020-02-12,22.647312,114.179964,深圳市,广东省
23,东方社区上头田新村,2020/02/22 17:10:52,2020-02-12,22.758725,113.846009,深圳市,广东省
24,花园城一期,2020/02/22 17:10:52,2020-02-12,22.503354,113.922479,深圳市,广东省
