id,name,datetime,updated_date,lat,lng,city,province
0,海珑华苑,2020/02/08 22:01:19,2020-02-08,22.546845,114.132533,深圳市,广东省
1,深圳市雅庭精品酒店,2020/02/08 22:01:19,2020-02-08,22.526276,114.045884,深圳市,广东省
2,金港华庭,2020/02/08 22:01:19,2020-02-08,22.582181,113.861441,深圳市,广东省
3,招商街道沿山路63号,2020/02/08 22:01:19,2020-02-08,22.499703,113.918798,深圳市,广东省
4,水木华庭,2020/02/08 22:01:19,2020-02-08,22.562507,113.980387,深圳市,广东省
5,塘朗城,2020/02/08 22:01:19,2020-02-08,22.589249,114.000673,深圳市,广东省
6,杨美社区长坑三区,2020/02/08 22:01:19,2020-02-08,22.627638,114.063417,深圳市,广东省
7,全伟达工业园,2020/02/08 22:01:19,2020-02-08,22.628229,114.100517,深圳市,广东省
8,松园北街38号大院,2020/02/08 22:01:19,2020-02-08,22.553744,114.107686,深圳市,广东省
9,梅林山水居,2020/02/08 22:01:19,2020-02-08,22.571093,114.043676,深圳市,广东省
10,怀德公元,2020/02/08 22:01:19,2020-02-08,22.668856,113.827575,深圳市,广东省
11,永丰社区六区,2020/02/08 22:01:19,2020-02-08,22.572354,113.867771,深圳市,广东省
12,留仙居南A区,2020/02/08 22:01:19,2020-02-08,22.581685,113.950653,深圳市,广东省
13,天鹅湖花园,2020/02/08 22:01:19,2020-02-08,22.546699,113.984269,深圳市,广东省
14,德兴花园德贵苑,2020/02/08 22:01:19,2020-02-08,22.589526,114.110935,深圳市,广东省
15,华为荔枝苑,2020/02/08 22:01:19,2020-02-08,22.632861,114.079895,深圳市,广东省
16,玉律村-一区,2020/02/08 22:01:19,2020-02-07,22.715294,113.890234,深圳市,广东省
17,天景花园,2020/02/08 22:01:19,2020-02-07,22.560254,114.141900,深圳市,广东省
18,京基东方颐园,2020/02/08 22:01:19,2020-02-07,22.549583,114.126630,深圳市,广东省
19,下沙村四坊,2020/02/08 22:01:19,2020-02-07,22.524640,114.025842,深圳市,广东省
20,金地香蜜山,2020/02/08 22:01:19,2020-02-07,22.554020,114.017028,深圳市,广东省
21,新洲花园,2020/02/08 22:01:19,2020-02-07,22.526495,114.048323,深圳市,广东省
