安徽,anhui,""
北京,beijing
重庆,chongqing
福建,fujian
甘肃,gansu
广东,guangdong
广西,guangxi
贵州,guizhou
海南,hainan
河北,hebei
黑龙江,heilongjiang
河南,henan
香港,hongkong
湖北,hubei
湖南,hunan
内蒙古,neimenggu
江苏,jiangsu
江西,jiangxi
吉林,jilin
辽宁,liaoning
澳门,macau
宁夏,ningxia
青海,qinghai
陕西,shaanxi
山东,shandong
上海,shanghai
山西,shanxi
四川,sichuan
台湾,taiwan
天津,tianjin
新疆,xinjiang
云南,yunnan
浙江,zhejiang
西藏,xizang
阿富汗,afghanistan
奥兰群岛,aland islands 
阿尔巴尼亚,albania 
阿尔及利亚,algeria 
美属萨摩亚,american samoa 
安道尔,andorra
安哥拉,angola
安圭拉,anguilla
安提瓜和巴布达,antigua and barbuda
阿根廷,argentina
亚美尼亚,armenia
阿鲁巴,aruba
澳大利亚,australia
奥地利,austria
阿塞拜疆,azerbaijan
孟加拉,bangladesh
巴林,bahrain
巴哈马,bahamas
巴巴多斯,barbados
白俄罗斯,belarus
比利时,belgium
伯利兹,belize
贝宁,benin
百慕大,bermuda
不丹,bhutan
玻利维亚,bolivia
波斯尼亚和黑塞哥维那,bosnia and herzegovina
博茨瓦纳,botswana
布维岛,bouvet island 
巴西,brazil
文莱,brunei
保加利亚,bulgaria
布基纳法索,burkina faso
布隆迪,burundi 
柬埔寨,cambodia
喀麦隆,cameroon
加拿大,canada
佛得角,cape verde
中非,central african republic
乍得,chad
智利,chile
圣诞岛,christmas islands 
科科斯（基林）群岛,cocos islands 
哥伦比亚,colombia
科摩罗,comoros
刚果（金）,congo kinshasa
刚果,congo
库克群岛,cook islands 
哥斯达黎加,costa rica
科特迪瓦,ivory Coast
中国,china
克罗地亚,croatia
古巴,cuba 
捷克,czechia
塞浦路斯,cyprus
丹麦,denmark
吉布提,djibouti
多米尼加,dominican republic
东帝汶,east timor
厄瓜多尔,ecuador
埃及,egypt
赤道几内亚,equatorial guinea
厄立特里亚,eritrea
爱沙尼亚,estonia
埃塞俄比亚,ethiopia
法罗群岛,faroe islands 
斐济,fiji
芬兰,finland
法国,france
法国大都会,metropolitanfrance
法属圭亚那,french guiana
法属波利尼西亚,french polynesia
加蓬,gabon
冈比亚,gambia
格鲁吉亚,georgia
德国,germany
加纳,ghana
直布罗陀,gibraltar
希腊,greece
格林纳达,grenada
瓜德罗普岛,guadeloupe
关岛,guam
危地马拉,guatemala
根西岛,guernsey
几内亚比绍,guinea-bissau
几内亚,guinea
圭亚那,guyana
海地,haiti
洪都拉斯,honduras
匈牙利,hungary
冰岛,iceland
印度,india
印度尼西亚,indonesia
伊朗,iran
伊拉克,iraq
爱尔兰,ireland
马恩岛,isle of man 
以色列,israel
意大利,italy
牙买加,jamaica
日本,japan
泽西岛,jersey
约旦,jordan
哈萨克斯坦,kazakhstan 
肯尼亚,kenya
基里巴斯,kiribati
韩国,south korea
朝鲜,north korea
科威特,kuwait
吉尔吉斯斯坦,kyrgyzstan
老挝,laos
拉脱维亚,latvia
黎巴嫩,lebanon
莱索托,lesotho
利比里亚,liberia
利比亚,libya
列支敦士登,liechtenstein
立陶宛,lithuania
卢森堡,luxembourg
