Cases,Date,State,County, ,Reference
NO.45537,2020/3/23,IL,Winnebago,3/26 IL total 1285. Winnebago 5 cases.,www.dph.illinois.gov 
NO.45538,2020/3/23,CA,Los Angeles,Two additional deaths are reported in LA. one individual was older than 65 with underlying health conditions from Glendale. one was between the ages of 30 and 50 from an area still under investigation. [Death],publichealth.lacounty.gov 
NO.45539,2020/3/23,IL,Cook,Cook County 7th 8th 9th death. [Death],en.wikipedia.org 
NO.45540,2020/3/23,CA,Sacramento,3/23 Sacramento County report another death case. making total death cases 4. [Death],www.saccounty.net 
NO.45541,2020/3/23,IL,Cook,Cook County 5th 6th death. [Death],en.wikipedia.org 
NO.45542,2020/3/23,MA,Unassigned,4 more deaths attributed to Covid-19. total to 9 in MA. Placeholder. [Death],www.mass.gov 
NO.45543,2020/3/23,CT,Fairfield,One more coronavirus death in Fairfield County. The man in his 50s from Norwalk died at Norwalk Hospital. [Death],www.nbcconnecticut.com 
NO.45544,2020/3/23,CT,Hartford,One more coronavirus death in Hartford County. The man in his 70s from Newington died at Saint Francis Hospital. [Death],www.nbcconnecticut.com 
NO.45545,2020/3/23,NV,Clark,The Southern Nevada Health District announced two more deaths in Clark County as a result of COVID-19 (coronavirus). The patients include a woman in her 70s who had underlying medical conditions. The patients include a man in his 60s with underlying medical conditions. [Death],www.kolotv.com 
NO.45546,2020/3/23,LA,East Baton Rouge,East Baton Rouge 1st death. officials said the man from Mississippi was 90 years old and had been transferred to Our Lady of the Lake from a smaller hospital in his home state because he needed more acute care than the facility could provide. [Death],www.theadvocate.com 
NO.45547,2020/3/23,NY,Unassigned,By 3/23. there are one moer death reported in NY state. [Death],www.nydailynews.com 
NO.45548,2020/3/23,SC,Clarendon,Two more deaths in SC. One was an elderly person from Clarendon County who also had underlying health conditions. [Death],www.wltx.com 
NO.45549,2020/3/23,SC,Kershaw,Two more deaths in SC. One was an elderly person from Kershaw County who also had underlying health conditions. [Death],www.wltx.com 
